Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
michaelcampbell@yahoo.com,"96480 White Lane Suite 521
Pattersonhaven, OR 39409-4561",Gray,35.86023651335309,11.730661394277831,36.8821490815068,3.41620997759013,546.5566668627299
rcarter@crane-thompson.org,"14064 Frazier Hills Apt. 176
Amyborough, MP 77858-0018",MediumVioletRed,33.48193057257537,11.918670307379347,37.31770494919684,3.3363393820041853,503.1750851912004
dwhite@gmail.com,"02136 White Grove Suite 418
Marytown, DE 70033",OrangeRed,33.25823783380398,11.514949066574868,37.128039498322295,4.662845304002564,549.131573287217
vancemichelle@gmail.com,"6586 Reginald Crest Apt. 061
North Josephfort, NM 55275",DeepPink,32.319857972167306,12.418113202231622,36.155336204959546,3.222080766760957,482.83098586170183
kylemelendez@hotmail.com,"2749 Cunningham Flat Apt. 838
Derekberg, OH 45288",DeepPink,32.43083857908201,13.887275413385504,38.38195597213616,3.7729690246447083,557.6082620533542
richard35@hale-duncan.net,"33940 Craig Throughway Apt. 334
Martinview, IL 62015-0314",GhostWhite,31.44597248275779,12.846499067474369,37.86921693600857,3.420149530164856,484.87696493512857
waltonkaren@gmail.com,"355 Villegas Isle Apt. 070
West Jenniferview, NM 26775-4339",Green,35.74266980593494,10.889828283005029,35.565436237139735,6.115198945760052,669.9871405017029
contrerastiffany@gmail.com,"439 Todd Summit Apt. 478
Mooreland, AR 31655",CadetBlue,34.012619460656374,12.914570094327917,36.046203518424534,3.488029991222591,547.7099885778625
rogerstiffany@wilson-horne.com,"30700 Justin Ports
Port David, PA 52171-5921",DarkOliveGreen,34.14039342796294,11.568526641744768,38.918748541019504,4.082855278762214,537.8252822957112
waltercharles@sanders.net,"291 Stephen Glens Apt. 532
Jacquelineton, NJ 53606-5656",IndianRed,32.37798965892753,11.971750786570595,37.19936752783635,2.8296995751470893,408.2169017707518
john96@chan-anderson.biz,"04290 Barron Square
Laurenmouth, AS 79917-9544",Snow,33.17233109074306,13.07869243953642,37.329818625212354,5.405406467229508,663.0748176067602
bushsharon@barber.com,"0013 Andre Field
Whitebury, AZ 68447-6306",DarkSeaGreen,33.24732220295966,11.956426484854195,36.5173461200418,3.451750709833103,506.37586675019753
nicolegay@jennings.com,"50718 Timothy Light
Garciaport, SC 60266-6696",BlueViolet,33.59891333929404,13.252737094184228,37.30596141998359,2.935577273740486,528.4193296952955
rchambers@hotmail.com,"53964 Weaver Brook Suite 861
Stevensonshire, NY 18128",OliveDrab,33.08529799058909,13.093537281195058,38.31564796064117,4.75036007144446,632.1235881419656
gomezalicia@hotmail.com,"506 Allison Cove Apt. 766
Weeksstad, AS 71308",MediumSpringGreen,32.278443347919655,12.527471744522868,36.688366542504845,3.5314023030588984,488.2702979651482
potterkenneth@strickland.com,"2559 Harris Pines Apt. 514
Michaelshire, ME 21753-8834",MediumSlateBlue,33.441553044751224,11.235968954252515,37.05261630809583,3.904479379627935,508.7357409506604
charlesjackson@brady-fuller.net,"3802 Veronica Causeway
East Patrickfurt, DC 84522",GhostWhite,32.86530120924307,12.074830167957376,35.56917031744619,2.3990797897904113,411.1869635742789
jacquelinewest@pace-herrera.com,"592 Villanueva Village
Woodsstad, AK 20530",Purple,31.52619789823981,12.045331979699332,38.50588332918249,2.847709026474498,409.09452619233787
stevenjohnson@yahoo.com,"PSC 4427, Box 6116
APO AP 87584-5187",SandyBrown,33.000849640152055,11.230743306761045,36.99529016635977,3.781703565104839,467.8009243667916
johnsonchelsea@gmail.com,"19270 Velasquez Coves
Boylechester, AZ 51480",LightCyan,32.088380630448206,11.90784409977911,35.18912244437772,4.34977841863416,512.165866388158
jenniferjenkins@jones.com,"USNS Jacobs
FPO AE 71507-1312",LightSalmon,33.26544447284578,13.05221038516131,38.775665296116884,4.574287716419565,608.2718166151668
ebutler@rogers-gonzalez.com,"001 Estrada Union
Lewismouth, TN 47360",Chartreuse,32.992573196692234,13.004362005673078,36.98504141740091,4.620416384895069,589.0264897562791
ellenlucas@cox.org,"86268 Davis Corner
North Danielview, CT 59551-9382",DarkGoldenRod,33.86318870719846,11.52352268106905,35.9380452301724,3.0130325004194374,444.05382657277266
elizabethnunez@vasquez-nelson.net,"209 Andrew Viaduct
Port Anna, OR 01627-8037",Cornsilk,32.59209322575472,10.314717921893896,36.72902940108787,4.791108744558267,493.18126139071865
ramirezjacob@turner.com,"19704 Kaitlin Flat
West Andrewtown, VI 38642",Magenta,32.381034590963445,12.433128529733452,37.626906802047884,4.334001444341368,532.724805462904
